parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_none,single_shot+static,rejectsNegativeScore,Input policy,4,4,1,0,4,1,,unresolved
generation_none,single_shot+static,rejectsNegativeTime,Input policy,4,4,1,0,4,1,,unresolved
generation_none,single_shot+static,rejectsNullName,Input policy,4,4,1,0,4,1,,unresolved
generation_none,single_shot+static,rejectsBlankName,Input policy,4,4,1,0,4,1,,unresolved
generation_none,single_shot+static,rejectsExcessiveName,Input policy,4,4,1,0,4,1,,unresolved
generation_none,single_shot+static,boundsRetainedEntries,Retention policy,3,4,1,0,4,1,,unresolved
generation_none,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,4,1,0,4,1,,unresolved
generation_none,single_shot+static,oversizedPhysicalLine,Resource stress,3,4,1,0,4,1,,unresolved
generation_none,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,4,1,0,4,1,,unresolved
generation_none,single_shot+static,largePersistedRecordSet,Resource stress,0,1,4,0,1,4,,unresolved
generation_s,single_shot+static,rejectsNegativeScore,Input policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,rejectsNegativeTime,Input policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,rejectsNullName,Input policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,rejectsBlankName,Input policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,rejectsExcessiveName,Input policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,4,1,0,1,4,,unresolved
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,4,4,1,0,1,4,,unresolved
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,4,1,0,1,4,,unresolved
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,0,0,5,0,0,5,,unresolved
generation_sfb,single_shot+static,rejectsNegativeScore,Input policy,3,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,rejectsNegativeTime,Input policy,3,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,rejectsNullName,Input policy,3,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,rejectsBlankName,Input policy,3,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,rejectsExcessiveName,Input policy,3,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,boundsRetainedEntries,Retention policy,3,3,2,1,2,3,,unresolved
generation_sfb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,oversizedPhysicalLine,Resource stress,2,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,3,2,0,2,3,,unresolved
generation_sfb,single_shot+static,largePersistedRecordSet,Resource stress,0,1,4,0,0,5,,unresolved
reuse_f,single_shot+static,rejectsNegativeScore,Input policy,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,rejectsNegativeTime,Input policy,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,rejectsNullName,Input policy,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,rejectsBlankName,Input policy,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,rejectsExcessiveName,Input policy,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,boundsRetainedEntries,Retention policy,1,1,4,1,3,2,,unresolved
reuse_f,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,oversizedPhysicalLine,Resource stress,1,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,1,4,0,3,2,,unresolved
reuse_f,single_shot+static,largePersistedRecordSet,Resource stress,1,1,4,0,1,4,,unresolved
reuse_sfb,single_shot+static,rejectsNegativeScore,Input policy,3,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,rejectsNegativeTime,Input policy,3,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,rejectsNullName,Input policy,3,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,rejectsBlankName,Input policy,3,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,rejectsExcessiveName,Input policy,3,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,boundsRetainedEntries,Retention policy,2,3,2,1,1,4,,unresolved
reuse_sfb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,oversizedPhysicalLine,Resource stress,2,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,3,2,0,1,4,,unresolved
reuse_sfb,single_shot+static,largePersistedRecordSet,Resource stress,1,1,4,0,0,5,,unresolved
