parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativeScore,Input policy,5,5,0,2,5,0,-0.6,decreased
generation_s,single_shot+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,5,5,0,4,5,0,-0.19999999999999996,decreased
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,5,5,0,5,5,0,0.0,equal
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,4,4,1,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,boundsRetainedEntries,Retention policy,0,5,0,3,5,0,0.6,increased
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,3,5,0,2,5,0,-0.19999999999999996,decreased
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,single_shot+static,largePersistedRecordSet,Resource stress,3,5,0,2,5,0,-0.19999999999999996,decreased
