parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
generation_s,single_shot+static,rejectsNegativeScore,Input policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,rejectsNegativeTime,Input policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,rejectsNullName,Input policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,rejectsBlankName,Input policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,rejectsExcessiveName,Input policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,boundsRetainedEntries,Retention policy,2,2,3,0,3,2,,unresolved
generation_s,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,2,3,0,3,2,,unresolved
generation_s,single_shot+static,oversizedPhysicalLine,Resource stress,2,2,3,2,3,2,,unresolved
generation_s,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,2,3,0,3,2,,unresolved
generation_s,single_shot+static,largePersistedRecordSet,Resource stress,0,0,5,0,0,5,,unresolved
reuse_sb,single_shot+static,rejectsNegativeScore,Input policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsNullName,Input policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsBlankName,Input policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,rejectsExcessiveName,Input policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,boundsRetainedEntries,Retention policy,2,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,1,2,3,2,2,3,,unresolved
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,2,3,0,2,3,,unresolved
reuse_sb,single_shot+static,largePersistedRecordSet,Resource stress,0,1,4,0,0,5,,unresolved
