condition,parent,strategy,category,checksPerArtifact,n,affected,unaffected,unresolved,affectedRateLowerBound,affectedRateUpperBound,wilson95LowWhenComplete,wilson95HighWhenComplete,deltaLowerBound,deltaUpperBound
generation_s__agentic__none,generation_s,none,Input policy,5,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,,
generation_s__agentic__none,generation_s,none,Retention policy,1,3,2,1,0,0.6666666666666666,0.6666666666666666,0.2076596008020477,0.9385080552796037,,
generation_s__agentic__none,generation_s,none,Parser robustness,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,,
generation_s__agentic__none,generation_s,none,Resource stress,2,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,,
generation_s__agentic__none,generation_s,none,Deserialization dispatch,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,,
generation_s__agentic__coach,generation_s,agentic+coach,Input policy,5,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,0.0,0.0
generation_s__agentic__coach,generation_s,agentic+coach,Retention policy,1,3,1,2,0,0.3333333333333333,0.3333333333333333,0.06149194472039621,0.7923403991979522,-0.3333333333333333,-0.3333333333333333
generation_s__agentic__coach,generation_s,agentic+coach,Parser robustness,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,0.0,0.0
generation_s__agentic__coach,generation_s,agentic+coach,Resource stress,2,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,0.0,0.0
generation_s__agentic__coach,generation_s,agentic+coach,Deserialization dispatch,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,0.0,0.0
generation_s__agentic__gate_once,generation_s,agentic+gate_once,Input policy,5,3,3,0,0,1.0,1.0,0.4385029682449546,1.0,0.0,0.0
generation_s__agentic__gate_once,generation_s,agentic+gate_once,Retention policy,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,-0.6666666666666666,-0.6666666666666666
generation_s__agentic__gate_once,generation_s,agentic+gate_once,Parser robustness,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,0.0,0.0
generation_s__agentic__gate_once,generation_s,agentic+gate_once,Resource stress,2,3,0,0,3,0.0,1.0,,,-1.0,0.0
generation_s__agentic__gate_once,generation_s,agentic+gate_once,Deserialization dispatch,1,3,0,3,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,0.0,0.0
