parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
reuse_sb,single_shot+static,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,single_shot+static,boundsRetainedEntries,Retention policy,0,5,0,0,5,0,0.0,equal
reuse_sb,single_shot+static,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,single_shot+static,oversizedPhysicalLine,Resource stress,2,5,0,4,5,0,0.4,increased
reuse_sb,single_shot+static,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,single_shot+static,largePersistedRecordSet,Resource stress,0,3,2,0,5,0,,unresolved
